	<=2.8	0.2999536	-0.21081	-0.5388841  0.2591479	0.3127879	-0.4230054	-1.1292284  0.5659413	0.7231173	-0.04040652	-0.4461965  0.3743342
	<=4.2	0.1660941	-0.3303824	-0.7186449  0.2048106	0.8675548	0.07400139	-0.5463015  0.9542905	0.07272727	-0.7724322	-2.1200453  0.1007795
	>4.2	0.5019471	0.1877471	-0.2481522  0.6261696	0.6305289	-0.1127475	-0.5300174  0.3603479	0.005050505	0.5557727	0.3196506 1.7909581
ES3DC	<=1.4	0.6408252	-0.1170706	-0.6315167  0.4617137	0.9609053	0.02695889	-0.8882985  1.0152168	0.4897947	-0.2320958	-0.8213712  0.3757102
	<=2.8	0.6204385	-0.1791668	-0.7850355  0.4075800	0.6097826	-0.2442879	-1.102651  1.207893	0.5670578	-0.2392609	-0.9248271  0.3730200
	<=4.2	0.9397091	0.1013717	-0.9883922  1.1836838	0.173436	1.007905	-0.3279467  1.6439649	0.2857143	-1.137585	-2.990813  1.231927
	>4.2	0.6083958	0.1281111	-0.6623548  0.9270270	0.321267	0.2410487	-0.6623548  1.1787700	0.8356643	-0.3147308	-1.808937  1.656692
E3D	<=1.4	0.7837768	0.04453506	-0.2683744  0.3778675	0.5716648	0.1401864	-0.5369733  0.8855768	0.834574	-0.06128462	-0.3820378  0.4504617
	<=2.8	0.8346539	-0.03317923	-0.3377988  0.5581721	0.5713583	0.5519216	-0.4438307  1.2720919	0.4035017	-0.1367377	-0.6911731  0.3490495
	<=4.2	0.06465794	0.2540112	-0.0232795  0.9269297	0.01374878	0.2875067	0.0583012 1.0606896	0.7241647	-0.1469388	-0.7290047  1.0568211
	>4.2	0.7665839	-0.06692721	-0.6534874  0.4059029	0.8748751	0.03025633	-0.2203494  0.4500710	0.3939394	-0.4570476	-5.0761883  0.5995773
